date,idx,exchange_rate_m2,interest_rate_m2,inflation_rate_m2,money_supply_m2
2006-02-01,1216.14,-0.3367622307278285,2.8529997097880533,3.163728725300019,-1.3790151471397334
2006-03-01,1322.97,-0.4661868729863899,2.8529997097880533,3.139882460028649,-1.38517759582112
2006-04-01,1464.4,-0.727789873296248,2.8529997097880533,3.405172161172638,-1.3829459433713736
2006-05-01,1330,-0.8104013470783085,2.8529997097880533,2.7553614325278106,-1.3821771142887922
2006-06-01,1310.26,-0.8792442418966921,2.8529997097880533,2.6540148051244885,-1.3834579709366173
2006-07-01,1351.65,-1.0224374631189301,2.7214914005020483,2.713630468302913,-1.3482123565493889
2006-08-01,1444.49,-0.7608344628090722,2.7214914005020483,2.6927649861904643,-1.3356716198744971
2006-09-01,1534,-0.8131550628710438,2.5899830912160433,2.5794952261514577,-1.3395858736771062
2006-10-01,1582.62,-0.8572145155548093,2.326966472644033,2.5049756471784272,-1.3228323317423327
2006-11-01,1718.96,-0.854460799762074,2.0639498540720234,2.400648236616184,-1.306557732514741
2006-12-01,1805.52,-0.7784582438825783,1.800933235500013,-0.0614786526527506,-1.279238304837485
2007-01-01,1757.26,-0.846199652383868,1.5379166169280027,-0.36551853486271596,-1.2693798048697544
2007-02-01,1740.97,-0.8393153629020296,1.2748999983559932,0.03092562527380765,-1.2374347989415586
2007-03-01,1830.92,-0.9315648419586637,1.143391689069988,-0.07042100212951413,-1.248885310769839
2007-04-01,1999.17,-0.8599682313475447,1.0118833797839828,-0.058497869493829284,-1.2478722839253722
2007-05-01,2084.32,-0.8324310734201912,0.8803750704979777,0.007079360002437552,-1.2399996631760715
2007-06-01,2139.28,-0.84344593659113265,0.8803750704979777,-0.0614786526527506,-1.2348967176873813
2007-07-01,2348.67,-0.8583160018719035,0.7488667612119726,-0.1449405811025449,-1.2267420879098387
2007-08-01,2194.34,-1.0257419220702126,0.6173584519259682,-0.21647937691665436,-1.180651729690749
2007-09-01,2359.21,-0.8935635640189159,0.485850142639963,-0.13003666530793875,-1.1647457903101328
2007-10-01,2643.49,-0.7724000691385606,0.485850142639963,0.004098576843516652,-1.1503452119713329
2007-11-01,2688.33,-0.6903393385150473,0.485850142639963,0.13525303583605075,-1.1315703427559205
2007-12-01,2745.83,-0.8484026250180562,0.485850142639963,0.11438755372360196,-1.1182087865072075
2008-01-01,2627.25,-0.8610697176646388,0.485850142639963,0.06371424002194127,-1.0979450986790094
2008-02-01,2721.94,-0.7063108901129123,0.3543418333539579,0.027944842114886338,-1.0269765026668023
2008-03-01,2447.3,-0.7002527153688944,0.3543418333539579,0.2574651453518209,-1.0688028528694857
2008-04-01,2304.52,-0.7812119596753138,0.3543418333539579,0.26938827798750575,-1.0631429789367537
2008-05-01,2444.35,-0.8450981660667738,0.3543418333539579,0.4989085812244403,-1.0705161758762627
2008-06-01,2349.11,-0.7944297954804433,0.3543418333539579,0.7343904507792175,-1.0568875775589073
2008-07-01,2304.51,-0.7762552712483901,0.485850142639963,1.157661659346032,-1.0332224512280597
2008-08-01,2165.94,-0.7332973048817186,0.6173584519259682,1.3514125646759116,-0.9846601814709165
2008-09-01,1832.51,-0.7856179049436903,0.7488667612119726,1.6107406995020586,-0.9983124118297448
2008-10-01,1256.7,-0.8594174881889977,0.8803750704979777,1.5958367837074523,-1.00086388457409
2008-11-01,1241.54,-0.814256549188138,1.0118833797839828,1.682279495316168,-0.925770709590166
2008-12-01,1355.41,-0.5983652310376866,1.143391689069988,1.5719905184360827,-0.8987112343691107
2009-01-01,1332.67,0.08731000135341514,1.143391689069988,1.5451634700057917,-0.8683574525667489
2009-02-01,1285.48,0.8715682591244424,1.0118833797839828,1.3603549141526756,-0.8330543335452701
2009-03-01,1406.65,0.1699214751354756,0.7488667612119726,0.7969868971165635,-0.8501432535352783
2009-04-01,1722.77,0.5829788440457778,0.485850142639963,0.6270822570580531,-0.8296124684970076
2009-05-01,1916.83,0.7608688842564814,0.22283352406795276,0.4243890022514099,-0.8165801538500934
2009-06-01,2026.78,0.5389193913620123,0.0913252147819476,0.24256122955721474,-0.8198330177080038
2009-07-01,2323.24,0.007452243364090037,-0.040183094504057534,-0.13599823162578117,-0.8084529529953537
2009-08-01,2341.54,-0.20843907478636128,-0.17169140379006195,-0.8484054066079549,-0.7687015748074525
2009-09-01,2467.59,-0.21284502005473782,-0.3031997130760671,-1.1285990235465504,-0.7817640833260217
2009-10-01,2367.7,-0.41386627292441824,-0.43470802236207223,-1.1166758909108656,-0.7547100355971579
2009-11-01,2415.84,-0.28719534645859224,-0.43470802236207223,-1.0928296256394956,-0.7364218919079188
2009-12-01,2534.36,-0.5598132099393918,-0.43470802236207223,-1.1703299877714475,-0.7340531578629357
2010-01-01,2610.8,-0.5680743573175978,-0.43470802236207223,-1.2180225183141873,-0.7020010594001322
2010-02-01,2549.03,-0.6369172521359815,-0.43470802236207223,-1.1077335414341019,-0.6396302490845125
2010-03-01,2777.3,-0.7222824417107773,-0.43470802236207223,-0.8275399244955064,-0.6928211928900286
2010-04-01,2971.25,-0.6864841364052178,-0.43470802236207223,-0.8007128760652151,-0.6986337140559806
2010-05-01,2796.96,-0.7316450754060775,-0.43470802236207223,-0.913982636104222,-0.6627116639909824
2010-06-01,2913.68,-0.86272194714028,-0.43470802236207223,-0.7709050444760028,-0.6596073275137286
2010-07-01,3069.28,-0.8875053892748982,-0.43470802236207223,-0.6963854655029723,-0.6381726641532072
2010-08-01,3081.88,-0.7883716207364256,-0.43470802236207223,-0.4310957643589828,-0.5689226847250668
2010-09-01,3501.3,-0.8522578271278857,-0.43470802236207223,-0.08234413476519918,-0.5796008384192394
2010-10-01,3635.32,-0.9381737598612285,-0.43470802236207223,-0.016766905268932132,-0.5647357801826389
2010-11-01,3531.21,-0.8853024166407099,-0.43470802236207223,-0.20753702743989064,-0.5344118377713105
2010-12-01,3703.51,-0.9475363935565287,-0.43470802236207223,-0.2462872085058667,-0.5077144054256179
2011-01-01,3409.17,-0.9475363935565287,-0.43470802236207223,-0.04955552001706576,-0.4770235598157301
